sample-id	treatment	challenge	calcium_concentration	limestone_particle_size
J2M	Reduced_Ca_Fine_Particle	challenged	Reduced	Fine
J3M	Standard_Ca_Fine_Particle	challenged	Standard	Fine
J4M	Low_Ca_Fine_Particle	challenged	Low	Fine
J5M	Reduced_Ca_Coarse_Particle	challenged	Reduced	Coarse
J6M	Negative_Control	non_challenged	Standard	Fine
J7M	Low_Ca_Coarse_Particle	challenged	Low	Coarse
J8M	Standard_Ca_Coarse_Particle	challenged	Standard	Coarse
J9M	Reduced_Ca_Coarse_Particle	challenged	Reduced	Coarse
J10M	Reduced_Ca_Fine_Particle	challenged	Reduced	Fine
J11M	Low_Ca_Coarse_Particle	challenged	Low	Coarse
J12M	Standard_Ca_Coarse_Particle	challenged	Standard	Coarse
J13M	Standard_Ca_Fine_Particle	challenged	Standard	Fine
J14M	Low_Ca_Fine_Particle	challenged	Low	Fine
J15M	Negative_Control	non_challenged	Standard	Fine
J16M	Reduced_Ca_Fine_Particle	challenged	Reduced	Fine
J17M	Low_Ca_Coarse_Particle	challenged	Low	Coarse
J18M	Reduced_Ca_Coarse_Particle	challenged	Reduced	Coarse
J19M	Negative_Control	non_challenged	Standard	Fine
J20M	Standard_Ca_Fine_Particle	challenged	Standard	Fine
J21M	Standard_Ca_Coarse_Particle	challenged	Standard	Coarse
J22M	Low_Ca_Fine_Particle	challenged	Low	Fine
J23M	Reduced_Ca_Coarse_Particle	challenged	Reduced	Coarse
J24M	Standard_Ca_Coarse_Particle	challenged	Standard	Coarse
J25M	Standard_Ca_Fine_Particle	challenged	Standard	Fine
J26M	Low_Ca_Fine_Particle	challenged	Low	Fine
J27M	Negative_Control	non_challenged	Standard	Fine
J28M	Reduced_Ca_Fine_Particle	challenged	Reduced	Fine
J29M	Low_Ca_Coarse_Particle	challenged	Low	Coarse
J30M	Negative_Control	non_challenged	Standard	Fine
J31M	Reduced_Ca_Coarse_Particle	challenged	Reduced	Coarse
J32M	Low_Ca_Coarse_Particle	challenged	Low	Coarse
J33M	Reduced_Ca_Fine_Particle	challenged	Reduced	Fine
J34M	Low_Ca_Fine_Particle	challenged	Low	Fine
J35M	Standard_Ca_Coarse_Particle	challenged	Standard	Coarse
J36M	Standard_Ca_Fine_Particle	challenged	Standard	Fine
J37M	Low_Ca_Coarse_Particle	challenged	Low	Coarse
J38M	Negative_Control	non_challenged	Standard	Fine
J39M	Reduced_Ca_Coarse_Particle	challenged	Reduced	Coarse
J40M	Standard_Ca_Coarse_Particle	challenged	Standard	Coarse
J41M	Reduced_Ca_Fine_Particle	challenged	Reduced	Fine
J42M	Low_Ca_Fine_Particle	challenged	Low	Fine
J43M	Standard_Ca_Fine_Particle	challenged	Standard	Fine
J44M	Low_Ca_Fine_Particle	challenged	Low	Coarse
J45M	Reduced_Ca_Coarse_Particle	challenged	Reduced	Coarse
J46M	Standard_Ca_Coarse_Particle	challenged	Standard	Coarse
J47M	Reduced_Ca_Fine_Particle	challenged	Reduced	Fine
J48M	Negative_Control	non_challenged	Standard	Fine
J49M	Standard_Ca_Fine_Particle	challenged	Standard	Fine
J50M	Low_Ca_Fine_Particle	challenged	Low	Fine
J51M	Low_Ca_Coarse_Particle	challenged	Low	Coarse
J52M	Reduced_Ca_Coarse_Particle	challenged	Reduced	Coarse
J53M	Reduced_Ca_Fine_Particle	challenged	Reduced	Fine
J54M	Standard_Ca_Fine_Particle	challenged	Standard	Fine
J55M	Standard_Ca_Coarse_Particle	challenged	Standard	Coarse
J56M	Negative_Control	non_challenged	Standard	Fine
J57M	Low_Ca_Coarse_Particle	challenged	Low	Coarse
J58M	Standard_Ca_Fine_Particle	challenged	Standard	Fine
J59M	Reduced_Ca_Fine_Particle	challenged	Reduced	Fine
J60M	Reduced_Ca_Coarse_Particle	challenged	Reduced	Coarse
J61M	Negative_Control	non_challenged	Standard	Fine
J62M	Low_Ca_Fine_Particle	challenged	Low	Fine
J63M	Standard_Ca_Coarse_Particle	challenged	Standard	Coarse
J64M	Low_Ca_Coarse_Particle	challenged	Low	Coarse
J65M	Standard_Ca_Fine_Particle	challenged	Standard	Fine
J66M	Negative_Control	non_challenged	Standard	Fine
J67M	Standard_Ca_Coarse_Particle	challenged	Standard	Coarse
J68M	Reduced_Ca_Fine_Particle	challenged	Reduced	Fine
J69M	Low_Ca_Coarse_Particle	challenged	Low	Coarse
J70M	Reduced_Ca_Coarse_Particle	challenged	Reduced	Coarse
J71M	Low_Ca_Fine_Particle	challenged	Low	Fine
