sample-id,treatment,challenge,calcium_concentration,limestone_particle_size
C2M,Reduced_Ca_Fine_Particle,challenged,Reduced,Fine
C3M,Standard_Ca_Fine_Particle,challenged,Standard,Fine
C4M,Low_Ca_Fine_Particle,challenged,Low,Fine
C5M,Reduced_Ca_Coarse_Particle,challenged,Reduced,Coarse
C6M,Negative_Control,non_challenged,Standard,Fine
C7M,Low_Ca_Coarse_Particle,challenged,Low,Coarse
C8M,Standard_Ca_Coarse_Particle,challenged,Standard,Coarse
C9M,Reduced_Ca_Coarse_Particle,challenged,Reduced,Coarse
C10M,Reduced_Ca_Fine_Particle,challenged,Reduced,Fine
C11M,Low_Ca_Coarse_Particle,challenged,Low,Coarse
C12M,Standard_Ca_Coarse_Particle,challenged,Standard,Coarse
C13M,Standard_Ca_Fine_Particle,challenged,Standard,Fine
C14M,Low_Ca_Fine_Particle,challenged,Low,Fine
C15M,Negative_Control,non_challenged,Standard,Fine
C16M,Reduced_Ca_Fine_Particle,challenged,Reduced,Fine
C17M,Low_Ca_Coarse_Particle,challenged,Low,Coarse
C18M,Reduced_Ca_Coarse_Particle,challenged,Reduced,Coarse
C19M,Negative_Control,non_challenged,Standard,Fine
C20M,Standard_Ca_Fine_Particle,challenged,Standard,Fine
C21M,Standard_Ca_Coarse_Particle,challenged,Standard,Coarse
C22M,Low_Ca_Fine_Particle,challenged,Low,Fine
C23M,Reduced_Ca_Coarse_Particle,challenged,Reduced,Coarse
C24M,Standard_Ca_Coarse_Particle,challenged,Standard,Coarse
C25M,Standard_Ca_Fine_Particle,challenged,Standard,Fine
C26M,Low_Ca_Fine_Particle,challenged,Low,Fine
C27M,Negative_Control,non_challenged,Standard,Fine
C28M,Reduced_Ca_Fine_Particle,challenged,Reduced,Fine
C29M,Low_Ca_Coarse_Particle,challenged,Low,Coarse
C30M,Negative_Control,non_challenged,Standard,Fine
C31M,Reduced_Ca_Coarse_Particle,challenged,Reduced,Coarse
C32M,Low_Ca_Coarse_Particle,challenged,Low,Coarse
C33M,Reduced_Ca_Fine_Particle,challenged,Reduced,Fine
C34M,Low_Ca_Fine_Particle,challenged,Low,Fine
C35M,Standard_Ca_Coarse_Particle,challenged,Standard,Coarse
C36M,Standard_Ca_Fine_Particle,challenged,Standard,Fine
C37M,Low_Ca_Coarse_Particle,challenged,Low,Coarse
C38M,Negative_Control,non_challenged,Standard,Fine
C39M,Reduced_Ca_Coarse_Particle,challenged,Reduced,Coarse
C40M,Standard_Ca_Coarse_Particle,challenged,Standard,Coarse
C41M,Reduced_Ca_Fine_Particle,challenged,Reduced,Fine
C42M,Low_Ca_Fine_Particle,challenged,Low,Fine
C43M,Standard_Ca_Fine_Particle,challenged,Standard,Fine
C44M,Low_Ca_Fine_Particle,challenged,Low,Coarse
C45M,Reduced_Ca_Coarse_Particle,challenged,Reduced,Coarse
C46M,Standard_Ca_Coarse_Particle,challenged,Standard,Coarse
C47M,Reduced_Ca_Fine_Particle,challenged,Reduced,Fine
C48M,Negative_Control,non_challenged,Standard,Fine
C49M,Standard_Ca_Fine_Particle,challenged,Standard,Fine
C50M,Low_Ca_Fine_Particle,challenged,Low,Fine
C51M,Low_Ca_Coarse_Particle,challenged,Low,Coarse
C52M,Reduced_Ca_Coarse_Particle,challenged,Reduced,Coarse
C53M,Reduced_Ca_Fine_Particle,challenged,Reduced,Fine
C54M,Standard_Ca_Fine_Particle,challenged,Standard,Fine
C55M,Standard_Ca_Coarse_Particle,challenged,Standard,Coarse
C56M,Negative_Control,non_challenged,Standard,Fine
C57M,Low_Ca_Coarse_Particle,challenged,Low,Coarse
C58M,Standard_Ca_Fine_Particle,challenged,Standard,Fine
C59M,Reduced_Ca_Fine_Particle,challenged,Reduced,Fine
C60M,Reduced_Ca_Coarse_Particle,challenged,Reduced,Coarse
C61M,Negative_Control,non_challenged,Standard,Fine
C62M,Low_Ca_Fine_Particle,challenged,Low,Fine
C63M,Standard_Ca_Coarse_Particle,challenged,Standard,Coarse
C64M,Low_Ca_Coarse_Particle,challenged,Low,Coarse
C65M,Standard_Ca_Fine_Particle,challenged,Standard,Fine
C66M,Negative_Control,non_challenged,Standard,Fine
C67M,Standard_Ca_Coarse_Particle,challenged,Standard,Coarse
C68M,Reduced_Ca_Fine_Particle,challenged,Reduced,Fine
C69M,Low_Ca_Coarse_Particle,challenged,Low,Coarse
C70M,Reduced_Ca_Coarse_Particle,challenged,Reduced,Coarse
C71M,Low_Ca_Fine_Particle,challenged,Low,Fine
