Comparison,log2FoldChange,padj,Gene
LC vs SC,1.00488743,0.035864758,SDR16C5
LC vs SC,1.18489157,0.010420843,PLIN2
LC vs SC,1.581704992,0.033250901,SLC30A10
LC vs SC,1.645824128,0.033250901,SCNN1A
LC vs SC,2.075215082,0.049633276,NPTX2
LF vs RF,-7.081876239,0.004997734,SLC5A11
LF vs RF,-6.171449044,0.006871336,CLDN10
LF vs RF,-6.005076637,0.01469804,MEP1A
LF vs RF,-5.965612195,0.000403335,MGAM
LF vs RF,-5.954771355,0.002052037,CPO
LF vs RF,-5.385318243,0.000122223,SI
LF vs RF,-5.127392257,0.002052037,MEP1B
LF vs RF,-4.980035989,0.017758576,HNF4beta
LF vs RF,-4.862100733,0.001772008,AMN
LF vs RF,-4.638520297,0.006871336,LOC100858256
LF vs RF,-4.547893584,0.009618913,SLC10A2
LF vs RF,-3.863354797,0.01963392,ACE
LF vs RF,-3.807190392,0.023206888,APOA4
LF vs RF,-3.791591944,0.006653719,COL9A1
LF vs RF,-3.735542301,0.006653719,C7orf62
LF vs RF,-3.540285367,0.006880336,MAMDC4
LF vs RF,-3.443746799,0.019121757,MALRD1
LF vs RF,-3.323535819,0.002052037,PDZK1P1
LF vs RF,-3.11613851,0.022000779,CYBRD1
LF vs RF,-3.080789691,0.006871336,MME
LF vs RF,-2.940291938,0.038337329,LOC418414
LF vs RF,-2.744967414,0.005494791,LOC121111680
LF vs RF,-2.682880576,0.031541006,LOC101747667
LF vs RF,-2.674452376,0.008603549,PLB1
LF vs RF,-2.65147394,0.00576283,SLC1A1
LF vs RF,-2.586722865,0.038337329,HMCN1
LF vs RF,-2.517768261,0.006237296,PI3
LF vs RF,-2.501155414,0.006653719,S100A12
LF vs RF,-2.385904404,0.030185776,CUTAL
LF vs RF,-2.298343758,0.038337329,CDKL2
LF vs RF,-2.275768506,0.004997734,FABP6
LF vs RF,-2.134098232,0.019121757,SLC5A1
LF vs RF,-1.895017316,0.006653719,TM4SF4
LF vs RF,-1.834141474,0.011196341,RGS13
LF vs RF,-1.823282939,0.046099676,IL1B
RC vs RF,-8.870862558,4.03E-05,SLC5A11
RC vs RF,-7.287685296,2.86E-05,CPO
RC vs RF,-5.468430704,4.03E-05,APOA4
RC vs RF,-3.251958262,0.007718569,MME
RC vs RF,-3.129714805,0.001124019,PLB1
