Comparison,log2FoldChange,padj,Gene
RC vs SC,1.132467579,0.009603528,LOC100859636
SC vs SF,5.226550842,0.049225686,LOC107052718
SF vs NC,-4.882599476,0.000948905,LOC107052718
SF vs NC,-4.347780959,1.17E-10,ETNPPL
SF vs NC,-4.136937856,0.010557531,LOC121106850
SF vs NC,-3.902279257,6.17E-12,SLC13A3
SF vs NC,-3.753134366,5.41E-07,J6367_mgp09
SF vs NC,-3.177828882,0.010159194,C14orf180
SF vs NC,-2.963720113,0.016276997,HAPLN1
SF vs NC,-2.951205738,8.30E-08,J6367_mgp05
SF vs NC,-2.893486061,5.74E-05,LOC107053293
SF vs NC,-2.819272004,0.003764501,J6367_mgt12
SF vs NC,-2.783790266,0.016276997,LOC429249
SF vs NC,-2.770300153,4.44E-06,LOC418421
SF vs NC,-2.764794969,0.009856175,LOC100857892
SF vs NC,-2.75560185,0.015624077,EDAR
SF vs NC,-2.725384403,0.013629989,JCHAIN
SF vs NC,-2.704611755,0.021421723,FIBIN
SF vs NC,-2.665979176,0.000155029,SV2B
SF vs NC,-2.65929144,2.11E-05,ADH1C
SF vs NC,-2.653656386,0.00198223,LOC770492
SF vs NC,-2.632907731,0.004625204,CXCL14
SF vs NC,-2.62214428,0.02371904,LOC121108855
SF vs NC,-2.588253756,0.01608009,FLRT2
SF vs NC,-2.54355489,0.000486699,EBF3
SF vs NC,-2.485707383,0.001774026,MYOM2
SF vs NC,-2.43921044,0.02075017,BLVRA
SF vs NC,-2.431144679,0.002503736,LOC107055347
SF vs NC,-2.429829104,0.006726058,ABI3BP
SF vs NC,-2.427696264,0.005295451,NPY4R
SF vs NC,-2.425641942,0.022010288,MC5R
SF vs NC,-2.422875907,0.010292609,WNT2B
SF vs NC,-2.419037468,0.016680724,IGLL1
SF vs NC,-2.412177821,0.029060132,COLEC10
SF vs NC,-2.388873376,0.018854189,SPERT
SF vs NC,-2.36079331,0.017852727,CFD
SF vs NC,-2.354230954,0.001741099,LOC101750420
SF vs NC,-2.345654323,0.000314237,MT3
SF vs NC,-2.341266363,0.018351925,NOX4
SF vs NC,-2.332679117,0.015480923,SYCP1
SF vs NC,-2.328142714,0.009856175,FKBP1B
